epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2079.06,1.6116,1.33517,1.55314,0.84832,0.76344,0.83131,0.47256,1.42972,1.41319,1.65313,0.0011288,0.0011288,0.0011288
46,2129.68,1.70945,1.61174,1.73921,0.86586,0.8329,0.86037,0.52838,1.42009,1.37695,1.62862,0.001109,0.001109,0.001109
47,2181.33,1.68364,1.39563,1.63781,0.87549,0.8172,0.8738,0.53193,1.40773,1.35185,1.64044,0.0010892,0.0010892,0.0010892
48,2228.32,1.5966,1.39136,1.65973,0.84517,0.84946,0.87419,0.52918,1.41034,1.38969,1.64409,0.0010694,0.0010694,0.0010694
49,2275.13,1.56589,1.38269,1.63053,0.90213,0.79297,0.89758,0.54871,1.40098,1.31334,1.60258,0.0010496,0.0010496,0.0010496
50,2322.42,1.66791,1.36403,1.61002,0.94424,0.72839,0.85951,0.51306,1.44747,1.46582,1.63141,0.0010298,0.0010298,0.0010298
51,2370.9,1.65295,1.37835,1.62645,0.89734,0.75193,0.86518,0.50573,1.49588,1.46586,1.65851,0.00101,0.00101,0.00101
52,2418.57,1.61404,1.43278,1.66117,0.91096,0.88004,0.91876,0.55722,1.39697,1.18943,1.59768,0.0009902,0.0009902,0.0009902
53,2465.55,1.62665,1.35583,1.69491,0.84368,0.88172,0.89785,0.50702,1.50377,1.27701,1.6481,0.0009704,0.0009704,0.0009704
54,2512.43,1.70197,1.43305,1.74381,0.88915,0.86252,0.90789,0.53286,1.41686,1.32153,1.60764,0.0009506,0.0009506,0.0009506
55,2559.47,1.53096,1.29318,1.63524,0.89169,0.87097,0.91023,0.52146,1.43681,1.2846,1.60992,0.0009308,0.0009308,0.0009308
56,2607.88,1.57929,1.22031,1.51258,0.88156,0.80033,0.87397,0.5374,1.31288,1.21503,1.53726,0.000911,0.000911,0.000911
57,2656.23,1.45522,1.23019,1.52288,0.89837,0.7957,0.89146,0.57705,1.30664,1.18047,1.52276,0.0008912,0.0008912,0.0008912
58,2704.13,1.4548,1.10951,1.48476,0.94792,0.83871,0.92913,0.60043,1.34046,1.16887,1.55737,0.0008714,0.0008714,0.0008714
59,2751.5,1.45434,1.14712,1.53939,0.90858,0.85495,0.9244,0.60003,1.31625,1.16231,1.5504,0.0008516,0.0008516,0.0008516
60,2801.97,1.51422,1.18489,1.51823,0.87218,0.88045,0.91797,0.59095,1.33822,1.16809,1.56389,0.0008318,0.0008318,0.0008318
61,2849.92,1.47844,1.11954,1.4804,0.87781,0.84969,0.8899,0.55581,1.362,1.19862,1.56273,0.000812,0.000812,0.000812
62,2897.95,1.47753,1.08593,1.45421,0.89579,0.83189,0.89255,0.54408,1.38404,1.20496,1.55609,0.0007922,0.0007922,0.0007922
63,2945.15,1.45395,1.15199,1.47448,0.91176,0.82796,0.89519,0.51672,1.47589,1.17878,1.59446,0.0007724,0.0007724,0.0007724
64,2993.55,1.54306,1.08496,1.54365,0.94138,0.86343,0.92727,0.56256,1.39074,1.11358,1.57727,0.0007526,0.0007526,0.0007526
65,3042.28,1.41347,1.03261,1.40586,0.91145,0.91398,0.93065,0.60179,1.28042,1.07826,1.53803,0.0007328,0.0007328,0.0007328
66,3090.79,1.38158,1.06386,1.44964,0.93244,0.89043,0.93448,0.60278,1.26049,1.04765,1.50777,0.000713,0.000713,0.000713
67,3141.81,1.38129,1.08283,1.44551,0.91504,0.92646,0.93935,0.62528,1.21404,1.01032,1.49069,0.0006932,0.0006932,0.0006932
68,3190.45,1.35568,1.04093,1.44591,0.93761,0.91398,0.94845,0.60068,1.28479,1.02737,1.51089,0.0006734,0.0006734,0.0006734
69,3240.11,1.35735,1.08089,1.52555,0.94505,0.92464,0.94231,0.62044,1.23047,1.03497,1.48613,0.0006536,0.0006536,0.0006536
70,3286.77,1.37415,1.05267,1.48074,0.93557,0.89247,0.93771,0.64708,1.18314,0.9973,1.44668,0.0006338,0.0006338,0.0006338
71,3332.39,1.37176,0.98577,1.40647,0.94504,0.92454,0.93786,0.63026,1.23106,0.98965,1.46799,0.000614,0.000614,0.000614
72,3379.38,1.38459,1.00402,1.4573,0.94398,0.9059,0.95096,0.59697,1.34108,1.04713,1.51807,0.0005942,0.0005942,0.0005942
73,3427.63,1.38349,1.04442,1.48496,0.92309,0.90343,0.94591,0.61315,1.25396,1.06632,1.50698,0.0005744,0.0005744,0.0005744
74,3475.42,1.41552,1.09042,1.50784,0.97604,0.89247,0.94625,0.64429,1.2123,0.9739,1.46709,0.0005546,0.0005546,0.0005546
75,3524.76,1.44918,1.059,1.42544,0.9758,0.90323,0.95054,0.63905,1.19544,0.99145,1.44058,0.0005348,0.0005348,0.0005348
76,3572.77,1.32345,0.99935,1.43865,0.92788,0.92473,0.94618,0.63275,1.19913,1.14485,1.42432,0.000515,0.000515,0.000515
77,3620.42,1.37821,1.06607,1.4885,0.93444,0.91956,0.94564,0.65924,1.16741,1.13583,1.40354,0.0004952,0.0004952,0.0004952
78,3668.2,1.35293,1.11969,1.43234,0.92501,0.92852,0.9432,0.6248,1.17941,1.04684,1.41704,0.0004754,0.0004754,0.0004754
79,3718.65,1.39573,1.02683,1.41178,0.92982,0.92473,0.94066,0.63362,1.16443,0.96667,1.40804,0.0004556,0.0004556,0.0004556
80,3766.39,1.32058,0.9959,1.44627,0.9466,0.92473,0.95619,0.63426,1.19245,0.92889,1.42407,0.0004358,0.0004358,0.0004358
81,3814.13,1.40863,1.06884,1.44211,0.94465,0.91768,0.95701,0.62561,1.23029,0.93257,1.43943,0.000416,0.000416,0.000416
82,3862.78,1.4081,1.00619,1.43728,0.95033,0.88172,0.95478,0.64447,1.17226,0.9462,1.41703,0.0003962,0.0003962,0.0003962
83,3916.13,1.31368,0.93864,1.37702,0.96235,0.88172,0.95567,0.65091,1.14756,0.93136,1.40224,0.0003764,0.0003764,0.0003764
84,3960.22,1.35278,0.94454,1.37971,0.96834,0.88172,0.95197,0.66877,1.12311,0.89067,1.3958,0.0003566,0.0003566,0.0003566
85,4004.21,1.33581,0.93623,1.36694,0.95035,0.93548,0.96188,0.66759,1.13496,0.87482,1.40492,0.0003368,0.0003368,0.0003368
86,4047.57,1.19795,0.8717,1.32957,0.9688,0.94624,0.96381,0.65535,1.14944,0.86956,1.41114,0.000317,0.000317,0.000317
87,4091.16,1.30777,0.96095,1.37118,0.96562,0.94624,0.96336,0.66068,1.1369,0.86909,1.40537,0.0002972,0.0002972,0.0002972
88,4136.01,1.26055,0.98885,1.36123,0.96637,0.92696,0.9639,0.6887,1.09545,0.88052,1.40306,0.0002774,0.0002774,0.0002774
89,4178.97,1.27275,0.88639,1.32121,0.95612,0.93709,0.95505,0.68996,1.11233,0.88837,1.40577,0.0002576,0.0002576,0.0002576
90,4221.56,1.36551,1.01831,1.43332,0.95882,0.92473,0.95503,0.69571,1.06062,0.86784,1.37891,0.0002378,0.0002378,0.0002378
91,4269.38,1.27604,1.10006,1.54806,0.96124,0.92473,0.96436,0.68928,1.05281,0.86514,1.36731,0.000218,0.000218,0.000218
92,4315.92,1.19987,1.02057,1.42721,0.97703,0.91469,0.96533,0.68521,1.06154,0.87908,1.36579,0.0001982,0.0001982,0.0001982
93,4361.96,1.16821,0.95258,1.39634,0.9718,0.91398,0.96551,0.692,1.05274,0.87839,1.36086,0.0001784,0.0001784,0.0001784
94,4406.73,1.19923,0.98447,1.46558,0.98302,0.92473,0.96573,0.69948,1.06563,0.8887,1.37138,0.0001586,0.0001586,0.0001586
95,4452.41,1.20121,1.02125,1.4962,0.98429,0.92473,0.96538,0.70772,1.07329,0.88907,1.3758,0.0001388,0.0001388,0.0001388
96,4497.19,1.1799,1.02148,1.42361,0.98318,0.92473,0.96519,0.70644,1.0805,0.87842,1.37909,0.000119,0.000119,0.000119
97,4544.48,1.22356,0.96017,1.41687,0.98442,0.92473,0.96555,0.70509,1.07046,0.86243,1.37053,9.92e-05,9.92e-05,9.92e-05
98,4591.12,1.15559,0.95525,1.40374,0.97794,0.92473,0.96584,0.69107,1.05964,0.83127,1.35825,7.94e-05,7.94e-05,7.94e-05
99,4635.52,1.19524,0.95744,1.43333,0.97086,0.93548,0.96596,0.6908,1.06483,0.8269,1.35775,5.96e-05,5.96e-05,5.96e-05
100,4680.87,1.21123,0.98237,1.48093,0.97745,0.93207,0.96615,0.69179,1.06855,0.8227,1.35676,3.98e-05,3.98e-05,3.98e-05
